,datetime,Tanaon,Guihean,Upper Amusig,Lower Amusig
0,01/01/2021 1:00,0.26,0.16,0.34,0.2
1,01/01/2021 2:00,0.26,0.16,0.34,0.2
2,01/01/2021 3:00,0.26,0.16,0.35,0.2
3,01/01/2021 4:00,0.26,0.16,0.35,0.2
4,01/01/2021 5:00,0.26,0.16,0.35,0.2
5,01/01/2021 6:00,0.26,0.16,0.35,0.2
6,01/01/2021 7:00,0.26,0.16,0.35,0.2
7,01/01/2021 8:00,0.27,0.16,0.35,0.2
8,01/01/2021 9:00,0.27,0.16,0.35,0.2
9,01/01/2021 10:00,0.27,0.16,0.35,0.2
10,01/01/2021 11:00,0.26,0.16,0.35,0.2
11,01/01/2021 12:00,0.26,0.16,0.35,0.2
12,01/01/2021 13:00,0.26,0.15,0.35,0.2
13,01/01/2021 14:00,0.25,0.15,0.35,0.2
14,01/01/2021 15:00,0.25,0.15,0.35,0.2
15,01/01/2021 16:00,0.25,0.15,0.35,0.2
16,01/01/2021 17:00,0.24,0.15,0.34,0.2
17,01/01/2021 18:00,0.24,0.15,0.34,0.2
18,01/01/2021 19:00,0.24,0.15,0.34,0.2
19,01/01/2021 20:00,0.24,0.15,0.34,0.2
20,01/01/2021 21:00,0.24,0.15,0.35,0.2
21,01/01/2021 22:00,0.24,0.15,0.35,0.2
22,01/01/2021 23:00,0.23,0.15,0.35,0.2
23,02/01/2021 0:00,0.23,0.15,0.35,0.2
24,02/01/2021 1:00,0.23,0.15,0.35,0.2
25,02/01/2021 2:00,0.23,0.15,0.35,0.2
26,02/01/2021 3:00,0.23,0.15,0.35,0.2
27,02/01/2021 4:00,0.24,0.15,0.35,0.2
28,02/01/2021 5:00,0.24,0.15,0.35,0.2
29,02/01/2021 6:00,0.24,0.15,0.35,0.2
30,02/01/2021 7:00,0.24,0.15,0.35,0.2
31,02/01/2021 8:00,0.24,0.15,0.35,0.2
32,02/01/2021 9:00,0.24,0.15,0.35,0.2
33,02/01/2021 10:00,0.24,0.15,0.35,0.2
34,02/01/2021 11:00,0.25,0.15,0.36,0.2
35,02/01/2021 12:00,0.25,0.15,0.36,0.2
36,02/01/2021 13:00,0.26,0.15,0.36,0.2
37,02/01/2021 14:00,0.27,0.15,0.36,0.2
38,02/01/2021 15:00,0.28,0.15,0.37,0.2
39,02/01/2021 16:00,0.29,0.15,0.38,0.2
40,02/01/2021 17:00,0.29,0.15,0.39,0.2
41,02/01/2021 18:00,0.28,0.15,0.39,0.2
42,02/01/2021 19:00,0.27,0.15,0.38,0.2
43,02/01/2021 20:00,0.27,0.15,0.37,0.22
44,02/01/2021 21:00,0.27,0.15,0.37,0.22
45,02/01/2021 22:00,0.27,0.15,0.36,0.22
46,02/01/2021 23:00,0.27,0.15,0.35,0.22
47,03/01/2021 0:00,0.26,0.15,0.35,0.22
48,03/01/2021 1:00,0.26,0.15,0.35,0.22
49,03/01/2021 2:00,0.26,0.15,0.35,0.22
